SSOC 2015,OCCUPATION,,SSOC 2010
,,,
,,,
1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",,
,,,
,,,
11,"LEGISLATORS, SENIOR OFFICIALS AND CHIEF EXECUTIVES",,
,,,
,,,
111,LEGISLATORS AND SENIOR OFFICIALS,,
,,,
,,,
1111,Legislators,,
11110,Legislator,,11110
,,,
,,,
1112,Senior Government and Statutory Board Officials,,
11121,Senior government official,,11121
11122,Senior statutory board official,,11122
,,,
,,,
1114,Senior Officials of Political Party Organisations,,
11140,Senior official of political party organisation,,11140
,,,
,,,
1115,"Senior Officials of Employers’, Workers’ and Other Economic-Interest ",,
,     Organisations,,
11150,"Senior official of employers’, workers' and other economic-interest ",,11150
,     organisation,,
,,,
,,,
1116,Senior Officials of Humanitarian and Other Special-Interest Organisations,,
11160,Senior official of humanitarian and other special-interest organisation,,11160
,,,
,,,
112,"MANAGING DIRECTORS, CHIEF EXECUTIVES AND GENERAL",,
,     MANAGERS,,
,,,
,,,
1120,"Managing Directors, Chief Executives and General Managers",,
11201,Managing director/Chief executive officer,,11201
11202,Company director,,11202
11203,Chief operating officer/General Manager,,11203
,,,
,,,
12,ADMINISTRATIVE AND COMMERCIAL MANAGERS,,
,,,
,,,
121,BUSINESS SERVICES AND ADMINISTRATION MANAGERS,,
,,,
,,,
1211,Finance and Administration Managers,,
12111,Budgeting and financial accounting manager (including financial controller),,12111
12112,Administration manager,,12112
,,,
,,,
1212,Human Resource Managers,,
12121,Personnel/Human resource manager,,12121
12122,Industrial relations manager,,12122
12123,Training manager,,12123
,,,
,,,
1213,Policy and Planning Managers,,
12130,Policy and planning manager,,12130
,,,
,,,
1219,Business Services and Administration Managers Not Elsewhere Classified,,
12191,Premises and facilities maintenance manager (including building ,,12191
,     security manager),,
12192,Landscape operations manager,,12192
12193,Working proprietor (business services and administrative services),,12193
12199,Other business services and administration managers n.e.c.,,12199
,,,
,,,
122,"SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE",,
,     MANAGERS,,
,,,
,,,
1221,"Sales, Marketing and Business Development Managers",,
12211,Sales and marketing manager ,,12211
12212,Business development manager,,12212
,,,
,,,
1222,Advertising and Public Relations Managers,,
12220,Advertising/Public relations manager ,,12220
,,,
,,,
1223,Research and Development Managers,,
12230,Research and development manager,,12230
,,,
,,,
1224,Customer Service and Call Centre Managers,,
12241,Customer service manager,,12241
12242,Call centre manager,,12242
,,,
,,,
13,PRODUCTION AND SPECIALISED SERVICES MANAGERS,,
,,,
,,,
131,PRODUCTION MANAGERS IN AGRICULTURE AND FISHERIES,,
,,,
,,,
1310,Production Managers in Agriculture and Fisheries,,
13101,Production manager in agriculture and fisheries,,13101
13102,Working proprietor (agriculture and fisheries),,13102
,,,
,,,
132,"MANUFACTURING, CONSTRUCTION, TRANSPORT, DISTRIBUTION",,
,     AND OTHER PRODUCTION AND OPERATIONS MANAGERS,,
,,,
,,,
1321,Manufacturing Managers,,
13211,Manufacturing plant/production manager,,13211
13212,Working proprietor (manufacturing),,13212
,,,
,,,
1323,Construction Managers,,
13231,Building and construction project manager,,13231
13232,Working proprietor (construction),,13232
,,,
,,,
