,ssoc_2015,ssoc_2015_title
0,1,"Legislators, Senior Officials And Managers"
1,11,"Legislators, Senior Officials And Chief Executives"
2,111,Legislators And Senior Officials
3,1111,Legislators
4,11110,Legislator
5,1112,Senior Government And Statutory Board Officials
6,11121,Senior Government Official
7,11122,Senior Statutory Board Official
8,1114,Senior Officials Of Political Party Organisations
9,11140,Senior Official Of Political Party Organisation
10,1115,"Senior Officials Of Employers’, Workers’ And Other Economic-Interest Organisations"
11,11150,"Senior Official Of Employers’, Workers' And Other Economic-Interest Organisation"
12,1116,Senior Officials Of Humanitarian And Other Special-Interest Organisations
13,11160,Senior Official Of Humanitarian And Other Special-Interest Organisation
14,112,"Managing Directors, Chief Executives And General Managers"
15,1120,"Managing Directors, Chief Executives And General Managers"
16,11201,Managing Director/Chief Executive Officer
17,11202,Company Director
18,11203,Chief Operating Officer/General Manager
19,12,Administrative And Commercial Managers
20,121,Business Services And Administration Managers
21,1211,Finance And Administration Managers
22,12111,Budgeting And Financial Accounting Manager (Including Financial Controller)
23,12112,Administration Manager
24,1212,Human Resource Managers
25,12121,Personnel/Human Resource Manager
26,12122,Industrial Relations Manager
27,12123,Training Manager
28,1213,Policy And Planning Managers
29,12130,Policy And Planning Manager
30,1219,Business Services And Administration Managers Not Elsewhere Classified
31,12191,Premises And Facilities Maintenance Manager (Including Building Security Manager)
32,12192,Landscape Operations Manager
33,12193,Working Proprietor (Business Services And Administrative Services)
34,12199,Other Business Services And Administration Managers N.E.C.
35,122,"Sales, Marketing, Development And Customer Service Managers"
36,1221,"Sales, Marketing And Business Development Managers"
37,12211,Sales And Marketing Manager
38,12212,Business Development Manager
39,1222,Advertising And Public Relations Managers
40,12220,Advertising/Public Relations Manager
41,1223,Research And Development Managers
42,12230,Research And Development Manager
43,1224,Customer Service And Call Centre Managers
44,12241,Customer Service Manager
45,12242,Call Centre Manager
46,13,Production And Specialised Services Managers
47,131,Production Managers In Agriculture And Fisheries
48,1310,Production Managers In Agriculture And Fisheries
49,13101,Production Manager In Agriculture And Fisheries
50,13102,Working Proprietor (Agriculture And Fisheries)
51,132,"Manufacturing, Construction, Transport, Distribution And Other Production And Operations Managers"
52,1321,Manufacturing Managers
53,13211,Manufacturing Plant/Production Manager
54,13212,Working Proprietor (Manufacturing)
55,1323,Construction Managers
56,13231,Building And Construction Project Manager
57,13232,Working Proprietor (Construction)
58,1324,"Transport, Supply, Distribution And Related Managers"
59,13241,Supply And Distribution/Logistics/Warehousing Manager
60,13242,Procurement/Purchasing Manager
61,13243,Transport Operations Manager
62,13244,Postal Service Manager
63,13245,"Working Proprietor (Transport, Storage And Courier)"
64,1329,Production And Operations Managers Not Elsewhere Classified
65,13291,Technical/Engineering Services Manager (Eg Shipyard Manager)
66,13292,Quality Assurance Manager
67,13299,Other Production And Operations Managers N.E.C. (Eg Mining Manager)
68,133,Information And Communications Technology Service Managers
69,1330,Information And Communications Technology Service Managers
70,13301,Chief Information Officer/Chief Technology Officer/Chief Security Officer
71,13302,Software And Applications Manager
72,13303,Network And Communications Manager
73,13304,It Service Manager
74,13305,Working Proprietor (Information And Communications Technology Service)
75,134,"Professional, Financial, Community And Social Services Managers"
76,1341,Child Care Services Managers
77,13410,Child Care Services Manager
78,1342,Health Services Managers
79,13420,Health Services Manager
80,1343,Aged Care Services Managers
81,13430,Aged Care Services Manager
82,1344,Social Welfare Managers
83,13440,Social Welfare Manager
84,1345,Education And Training Institution Managers
85,13451,School Principal
86,13459,"Other Education Managers (Including Registrars, Deans Of Education Institutions And Heads Of Training Institutions)"
87,1346,Financial And Insurance Services Managers
88,13460,Financial/Insurance Services Manager (Eg Financial Institution Branch Manager)
89,1349,"Professional, Financial, Community And Social Services Managers Not Elsewhere Classified"
90,13491,"Working Proprietor (Professional, Financial, Community And Social Services)"
91,13499,"Other Professional, Financial, Community And Social Services Managers"
92,14,"Hospitality, Retail And Related Services Managers"
93,141,Hotel And Food And Beverages Services Managers
94,1411,Hotel Operations And Lodging Services Managers
95,14111,Hotel Operations/Lodging Services Manager
96,14112,Working Proprietor (Lodging Services)
97,1412,Food And Beverages Services Managers
98,14121,Restaurant Manager
99,14122,Catering Services Manager
100,14123,Working Proprietor (Restaurant And Other Catering Services)
101,142,Retail And Wholesale Trade Managers
102,1420 ,Retail And Wholesale Trade Managers
103,14201,Retail/Shop Sales Manager
104,14202 ,Wholesale Trade Manager
105,14203,Working Proprietor (Retail Trade)
106,14204 ,Working Proprietor (Wholesale Trade)
107,143,Other Services Managers
108,1431,Sports Centre Managers
109,14310,Sports Centre Manager
110,1432,Recreation Centre Managers
111,14321,Casino Operations Manager
112,14322,Amusement/Theme Park Manager
113,14323,Cinema Manager
114,14324,Park/Garden/Nature Reserve Manager
115,14325,Discotheque/Karaoke/Nightclub Manager
116,14326,Wellness Centre Manager (Eg Hair/Beauty/Slimming/Spa/Manicure/ Massage)
117,14327,Community/Country Club Manager
118,14329,Other Recreation Centre Managers
119,1433,Arts And Cultural Centre Managers
120,14330,Arts And Cultural Centre Manager (Including Gallery And Museum Manager)
121,1439,Other Services Managers Not Elsewhere Classified
122,14391,"Working Proprietor (Sports, Recreation, Arts And Other Services)"
123,14392,Travel Agency Manager
124,14399,Other Services Managers N.E.C.
125,2,Professionals
126,21,Science And Engineering Professionals
127,211,Physical And Earth Science Professionals
128,2111,Physicists And Astronomers
129,21110,Physicist/Astronomer
130,2112,Meteorologists
131,21120,Meteorologist
132,2113,Chemists
133,21130,Chemist
134,2114,"Geologists, Geophysicists And Other Physical Science Professionals"
135,21141,Geologist
136,21142,Geophysicist
137,21149,Other Physical Science Professionals
138,212,"Mathematicians, Actuaries, Statisticians And Other Related Professionals"
139,2121,"Mathematicians, Operations Research Analysts And Actuaries"
140,21211,Mathematician
141,21212,Operations Research Analyst
142,21213,Actuary
143,2122,Statisticians
144,21220,Statistician
145,2123,"Other Statistical, Mathematical And Actuarial Professionals"
146,21231,Statistical Officer
147,21232,Research Officer (Statistical)
148,21239,"Other Statistical, Mathematical And Actuarial Professionals"
149,213,Life Science Professionals
150,2131,"Biologists, Botanists, Zoologists And Related Professionals"
151,21311,Biologist (General)
152,21312,Botanist
153,21313,Zoologist
154,21319,"Other Biologists, Botanists, Zoologists And Related Professionals"
155,2132,"Farming, Forestry And Fishery Advisers"
156,21321,Agronomist
157,21322,Horticulturist/Arborist
158,21323,Plant Pathologist
159,21324,Soil Scientist
160,21325,Floriculturist/Orchidologist
161,21326,Plant Tissue Culturist
162,21327,Aquaculturist
163,21329,"Other Farming, Forestry And Fishery Advisers"
164,2133,Environmental Protection And Related Professionals
